2024-04-16 22:07:19.929416 - Thread started for ('127.0.0.1', 49815)
2024-04-16 22:07:19.935608 - Connection from ('127.0.0.1', 49815)
2024-04-16 22:07:19.935608 - Thread started for ('127.0.0.1', 49816)
2024-04-16 22:07:19.935608 - Connection from ('127.0.0.1', 49816)
2024-04-16 22:07:19.935608 - Request from ('127.0.0.1', 49815): GET /index.html
2024-04-16 22:07:20.196251 - Connection from ('127.0.0.1', 49817)
2024-04-16 22:07:20.196251 - Thread started for ('127.0.0.1', 49817)
2024-04-16 22:08:16.201454 - Request from ('127.0.0.1', 49815): GET /index.html
2024-04-16 22:08:33.276835 - Request from ('127.0.0.1', 49815): GET /index.html
2024-04-16 22:10:47.155870 - Thread started for ('127.0.0.1', 49972)
2024-04-16 22:10:47.159830 - Connection from ('127.0.0.1', 49972)
2024-04-16 22:10:47.159830 - Connection from ('127.0.0.1', 49973)
2024-04-16 22:10:47.159830 - Thread started for ('127.0.0.1', 49973)
2024-04-16 22:10:47.159830 - Request from ('127.0.0.1', 49972): GET /index.html
2024-04-16 22:10:47.413726 - Connection from ('127.0.0.1', 49974)
2024-04-16 22:10:47.413726 - Thread started for ('127.0.0.1', 49974)
2024-04-16 22:10:58.538279 - Request from ('127.0.0.1', 49972): GET /index.html
2024-04-16 22:11:03.614123 - Request from ('127.0.0.1', 49972): GET /index.html
